question,SQL Query,ground_truth,nl_to_sql_execution_time,ground_truth_validity,SQL-to-NL response,sql_to_nl_execution_time,SQL Query Results,Ground Truth SQL-to-NL response
What was the GDP of Connecticut in 1977?,"SELECT value 
FROM bea_gross_domestic_product_by_year 
WHERE area_name = 'Connecticut' AND measurement_name = 'Real GDP by state' AND industry_type = 'Total' AND year = 1977
-- This query selects the GDP value from the bea_gross_domestic_product_by_year table for the state of Connecticut in the year 1977. The measurement_name 'Real GDP by state' and industry_type 'Total' are used to specify the total GDP.",SELECT value FROM bea_gross_domestic_product_by_year WHERE area_name = 'Connecticut' AND measurement_name = 'Real GDP by state' AND industry_type = 'Total' AND year = 1977,6.888181940012146,True,"The GDP of Connecticut in 1977 was $70,360,800,000.",1.5653090390260331,"[(70360800000.0,)]","The GDP of Connecticut in 1977 was $70,360,800,000."
What is the median annual income for the top 10 states with the highest GDP?,"-- This subquery selects the top 10 states with the highest GDP in the latest year available
WITH top_gdp_states AS (
  SELECT area_name
  FROM bea_gross_domestic_product_by_year
  WHERE measurement_name = 'Real GDP by state' AND industry_type = 'Total' AND area_type = 'State'
  ORDER BY value DESC
  LIMIT 10
)
-- This main query selects the median annual income for these top 10 states
SELECT e.location_name, MAX(e.value) * 52 AS median_annual_income
FROM bls_earnings e
INNER JOIN top_gdp_states tgs ON e.location_name = tgs.area_name
WHERE e.measure = 'Median usual weekly earnings - in current dollars (second quartile)' AND e.union_status = 'N/A' AND e.industry_name = 'All Industries' AND e.occupation_name = 'All Occupations' AND e.age = '16 years and over' AND e.race = 'All Races' AND e.national_origin = 'All Origins' AND e.sex = 'Both Sexes' AND e.native_foreign_born = 'N/A'
GROUP BY e.location_name
ORDER BY median_annual_income DESC;--

-- This query first creates a subquery that selects the top 10 states with the highest GDP in the latest year available from the bea_gross_domestic_product_by_year table. Then, it joins this subquery with the bls_earnings table to select the median annual income (calculated by multiplying the median weekly earnings by 52) for these top 10 states. The result is ordered by the median annual income in descending order.","SELECT location_name, value * 52 AS median_annual_income  FROM bls_earnings  WHERE year = (SELECT MAX(year) FROM bls_earnings)  AND measure = 'Median usual weekly earnings - in current dollars (second quartile)'  AND location_name IN (SELECT area_name FROM bea_gross_domestic_product_by_year WHERE measurement_name = 'Real GDP by state' AND industry_type = 'Total' AND area_type = 'State' AND year = ( SELECT MAX(year) FROM bea_gross_domestic_product_by_year WHERE measurement_name = 'Real GDP by state' AND industry_type = 'Total' ) ORDER BY value DESC LIMIT 10)  AND union_status = 'N/A' AND industry_name = 'All Industries' AND occupation_name = 'All Occupations' AND education = 'All educational levels' AND age = '16 years and over' AND race = 'All Races' AND national_origin = 'All Origins' AND sex = 'Both Sexes' AND native_foreign_born = 'N/A' ORDER BY median_annual_income DESC  LIMIT 10; -- This query selects the top 10 states in terms of GDP, then calculates the median annual earnings for those states",20.433393351966515,True,"The median annual income for the top 10 states with the highest GDP is only available for California, which is $60,268.",3.0784674019669183,"[('California', 60268.0)]","The median annual income for the top 10 states with the highest GDP are as follows: Washington has a median annual income of $62,244. New Jersey has a median annual income of $61,724. California has a median annual income of $60,268. New York has a median annual income of $59,852. Illinois has a median annual income of $59,072. Pennsylvania has a median annual income of $56,940. Texas has a median annual income of $52,728. Ohio has a median annual income of $52,260. Georgia has a median annual income of $51,272. Florida has a median annual income of $49,504."
How many Other separations were there in Real estate and rental and leasing in 2001?,"SELECT data_element, value 
FROM bls_job_turnover 
WHERE data_element = 'Other separations' 
AND industry_name = 'Real estate and rental and leasing' 
AND state = 'Total US' 
AND size_class = 'All size classes' 
AND rate_level = 'Level' 
AND year = 2001 
AND month_name = 'Annual' 
AND seasonal = 'Not Seasonally Adjusted';

-- This query selects the data element and value from the bls_job_turnover table where the data element is 'Other separations', the industry name is 'Real estate and rental and leasing', the state is 'Total US', the size class is 'All size classes', the rate level is 'Level', the year is 2001, the month name is 'Annual', and the seasonal is 'Not Seasonally Adjusted'. This will return the number of 'Other separations' in the 'Real estate and rental and leasing' industry in the US in 2001.","SELECT data_element, value FROM bls_job_turnover WHERE data_element = 'Other separations' AND industry_name = 'Real estate and rental and leasing' AND state = 'Total US' AND size_class = 'All size classes' AND rate_level = 'Level' AND year = 2001 AND month_name = 'Annual' AND seasonal = 'Not Seasonally Adjusted';",13.145201340026688,True,"In 2001, there were 51,000 'Other separations' in the 'Real estate and rental and leasing' industry across the United States.",1.80890071997419,"[('Other separations', 51000.0)]","In 2001, there were 51,000 'Other separations' in the 'Real estate and rental and leasing' industry across all size classes in the United States."
What was the unemployment rate for immigrants and native born Americans in 2018?,"SELECT foreign_native_born, value as unemployment_rate 
FROM bls_labor_force_statistics 
WHERE period_name = 'Annual' AND year = 2018 AND age_group = '16 years and over' AND labor_force_status = 'Unemployment rate' AND foreign_native_born != 'N/A' AND certification_license_status = 'N/A' AND children = 'N/A' AND class_of_worker = 'N/A' AND disabled_status = 'N/A' AND length_of_unemployment = 'N/A' AND level_of_education = 'All educational levels' AND labor_force_entrant_status = 'N/A' AND experience_level = 'N/A' AND head_of_family = 'N/A' AND hours_worked_bucket = 'N/A' AND industry_name = 'All Industries' AND wants_job = 'N/A' AND reason_looking = 'N/A' AND marriage_status = 'N/A' AND multiple_job_holder_status = 'N/A' AND occupation = 'All Occupations' AND hispanic_origin = 'All Origins' AND race = 'All Races' AND sex = 'Both Sexes' AND veteran_status = 'N/A'
-- This query selects the unemployment rate for immigrants and native born Americans in 2018 from the bls_labor_force_statistics table. The conditions in the WHERE clause filter the data to only include records for the year 2018, for individuals 16 years and over, and where the labor force status is 'Unemployment rate'. The foreign_native_born column is not 'N/A', meaning it includes both immigrants and native born Americans. The rest of the conditions in the WHERE clause are used to exclude records where other factors could affect the unemployment rate.","SELECT foreign_native_born, AVG(value) as unemployment_rate FROM bls_labor_force_statistics WHERE period_name = 'Annual' AND year = 2018 AND age_group = '16 years and over' AND labor_force_status = 'Unemployment rate' AND certification_license_status = 'N/A' AND children = 'N/A' AND class_of_worker = 'N/A' AND disabled_status = 'N/A' AND length_of_unemployment = 'N/A' AND level_of_education = 'All educational levels' AND labor_force_entrant_status = 'N/A' AND experience_level = 'N/A' AND head_of_family = 'N/A' AND hours_worked_bucket = 'N/A' AND industry_name = 'All Industries' AND wants_job = 'N/A' AND reason_looking = 'N/A' AND marriage_status = 'N/A' AND multiple_job_holder_status = 'N/A' AND occupation = 'All Occupations' AND hispanic_origin = 'All Origins' AND race = 'All Races' AND sex = 'Both Sexes' AND veteran_status = 'N/A' GROUP BY foreign_native_born",22.007888510008343,False,"I'm sorry, but I can't provide the unemployment rate for immigrants and native born Americans in 2018 because there was an error in executing the SQL query.",2.663182954012882,Error,"I'm sorry, but I can't provide the unemployment rate for immigrants and native born Americans in 2018 because there was an error in executing the SQL query."
What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in Oklahoma?,"SELECT 
    pce2021.product_category_name, 
    pce2021.value AS value2021, 
    pce2010.value AS value2010, 
    (pce2021.value - pce2010.value)/pce2010.value AS rate_of_change 
FROM 
    bamboo.bea_personal_consumption_expenditures_aggregate pce2021, 
    bamboo.bea_personal_consumption_expenditures_aggregate pce2010 
WHERE 
    pce2021.year = 2021 
    AND pce2021.product_category_type = 'Product Type' 
    AND pce2021.area_name = 'Oklahoma' 
    AND pce2010.year = 2010 
    AND pce2010.product_category_type = 'Product Type' 
    AND pce2010.area_name = 'Oklahoma' 
    AND pce2010.product_category_name = pce2021.product_category_name 
ORDER BY 
    rate_of_change DESC 
LIMIT 10;--

-- This query selects the product category name, the value of the product category in 2021 and 2010, and calculates the rate of change in consumer spending for each product category in Oklahoma from 2010 to 2021. The results are ordered in descending order by the rate of change, and only the top 10 results are returned.","SELECT pce2021.product_category_name, pce2021.value AS value2021, pce2010.value AS value2010, (pce2021.value - pce2010.value)/pce2010.value AS rate_of_change FROM bamboo.bea_personal_consumption_expenditures_aggregate pce2021, bamboo.bea_personal_consumption_expenditures_aggregate pce2010 WHERE pce2021.year = 2021 AND pce2021.product_category_type = 'Product Type' AND pce2021.area_name = 'Oklahoma' AND pce2010.year = 2010 AND pce2010.product_category_type = 'Product Type' AND pce2010.area_name = 'Oklahoma' AND pce2010.product_category_name = pce2021.product_category_name ORDER BY rate_of_change DESC LIMIT 10;",20.179049992002547,True,"The product that has seen the biggest percent increase in consumer spending between 2010 and 2021 in Oklahoma is 'Motor vehicles and parts'. The spending on this product category increased from $5,448,000,000 in 2010 to $10,308,900,000 in 2021, which is an increase of approximately 89.22%.",5.797660262032878,"[('Motor vehicles and parts', 10308900000.0, 5448000000.0, 0.89223564), ('Furnishings and durable household equipment', 5025100000.0, 2697500000.0, 0.862873), ('Food services and accommodations', 11620100000.0, 6687100000.0, 0.737689), ('Recreational goods and vehicles', 4734300000.0, 2727200000.0, 0.7359564), ('Other durable goods', 2699300000.0, 1692199900.0, 0.59514254), ('Less: Receipts from sales of goods and services by nonprofit institutions', 13983300000.0, 8910600000.0, 0.5692882), ('Financial services and insurance', 10727700000.0, 6850000000.0, 0.56608766), ('Gross output of nonprofit institutions', 16050800000.0, 10376800000.0, 0.5467966), ('Other nondurable goods', 14171600000.0, 9226900000.0, 0.53590035), ('Clothing and footwear', 5290399700.0, 3507300000.0, 0.5083967)]","The product category that has seen the biggest percent increase in consumer spending between 2010 and 2021 in Oklahoma is 'Motor vehicles and parts'. The spending on this category increased from $5,448,000,000 in 2010 to $10,308,900,000 in 2021, which is an increase of approximately 89.22%."
"How many Other separations were there in Transportation, warehousing, and utilities in 2018?","SELECT data_element, value 
FROM bls_job_turnover 
WHERE data_element = 'Other separations' 
AND industry_name = 'Transportation, warehousing, and utilities' 
AND state = 'Total US' 
AND size_class = 'All size classes' 
AND rate_level = 'Level' 
AND year = 2018 
AND month_name = 'Annual' 
AND seasonal = 'Not Seasonally Adjusted';
-- This query selects the data element and value from the bls_job_turnover table where the data element is 'Other separations', the industry name is 'Transportation, warehousing, and utilities', the state is 'Total US', the size class is 'All size classes', the rate level is 'Level', the year is 2018, the month name is 'Annual', and the data is not seasonally adjusted. This will return the number of 'Other separations' in the 'Transportation, warehousing, and utilities' industry in 2018.","SELECT data_element, value FROM bls_job_turnover WHERE data_element = 'Other separations' AND industry_name = 'Transportation, warehousing, and utilities' AND state = 'Total US' AND size_class = 'All size classes' AND rate_level = 'Level' AND year = 2018 AND month_name = 'Annual' AND seasonal = 'Not Seasonally Adjusted';",14.025062293978408,True,"In 2018, there were 147,000 'Other separations' in the 'Transportation, warehousing, and utilities' industry across the United States.",3.1686662129941396,"[('Other separations', 147000.0)]","There were 147,000 other separations in the Transportation, Warehousing, and Utilities industry across all size classes in the United States in 2018."
Which industries had the most job openings in West region in 2022?,"SELECT year, industry_name, data_element, value 
FROM bls_job_turnover 
WHERE data_element = 'Job openings' AND state = 'West' AND size_class = 'All size classes' AND rate_level = 'Level' AND year = 2022 AND month_name = 'Annual' AND industry_name != 'Total nonfarm' AND industry_name != 'Total private' AND industry_name != 'Other services' 
ORDER BY value DESC

-- This query selects the year, industry name, data element and value from the bls_job_turnover table where the data element is 'Job openings', the state is 'West', the size class is 'All size classes', the rate level is 'Level', the year is 2022, the month name is 'Annual', and the industry name is not 'Total nonfarm', 'Total private' or 'Other services'. The results are ordered in descending order by value.","SELECT year, industry_name, data_element, value FROM bls_job_turnover WHERE data_element = 'Job openings' AND state = 'West region' AND size_class = 'All size classes' AND rate_level = 'Level' AND year = 2022 AND month_name = 'Annual' AND industry_name != 'Total nonfarm' AND industry_name != 'Total private' AND industry_name != 'Other services' ORDER BY value DESC",16.784026972018182,True,The data for job openings in various industries in the West region for the year 2022 is not available.,1.6910284259938635,[],There were no job openings recorded in the West region across all industries in 2022.
Which states have the largest Mining (except oil and gas) industry?,"SELECT year, area_name, industry_name, value 
FROM bea_gross_domestic_product_by_year 
WHERE industry_name = 'Mining (except oil and gas)' 
AND year = ( SELECT MAX(year) FROM bea_gross_domestic_product_by_year WHERE industry_name = 'Mining (except oil and gas)' GROUP BY industry_name ) 
AND measurement_name = 'Real GDP by state' 
AND area_type = 'State' 
ORDER BY value DESC;--

-- This query selects the year, area_name (which is the state in this case), industry_name, and value from the bea_gross_domestic_product_by_year table where the industry_name is 'Mining (except oil and gas)'. It only selects the data for the most recent year available for this industry. The measurement_name is 'Real GDP by state' and the area_type is 'State'. The results are ordered in descending order by the value (which is the Real GDP for the 'Mining (except oil and gas)' industry).","SELECT year, area_name, industry_name, value FROM bea_gross_domestic_product_by_year WHERE industry_name = 'Mining (except oil and gas)' AND year = ( SELECT MAX(year) FROM bea_gross_domestic_product_by_year WHERE industry_name = 'Mining (except oil and gas)' GROUP BY industry_name ) AND measurement_name = 'Real GDP by state' AND area_type = 'State' ORDER BY value DESC;",26.0574692300288,True,"The states with the largest 'Mining (except oil and gas)' industry in 2021, based on Real GDP, are Arizona, West Virginia, and Nevada. Arizona leads with a Real GDP of approximately $6.87 billion, followed by West Virginia with approximately $5.36 billion, and Nevada with approximately $5.32 billion. Other states with significant 'Mining (except oil and gas)' industries include Texas, California, and Utah, with Real GDP values of approximately $3.83 billion, $3.04 billion, and $3.02 billion respectively.",8.800159303995315,"[(2021, 'Arizona', 'Mining (except oil and gas)', 6869600300.0), (2021, 'West Virginia', 'Mining (except oil and gas)', 5361200000.0), (2021, 'Nevada', 'Mining (except oil and gas)', 5317300000.0), (2021, 'Texas', 'Mining (except oil and gas)', 3829500000.0), (2021, 'California', 'Mining (except oil and gas)', 3040600000.0), (2021, 'Utah', 'Mining (except oil and gas)', 3023800000.0), (2021, 'Wyoming', 'Mining (except oil and gas)', 2475200000.0), (2021, 'Minnesota', 'Mining (except oil and gas)', 2100700000.0), (2021, 'Alaska', 'Mining (except oil and gas)', 1816199900.0), (2021, 'Georgia', 'Mining (except oil and gas)', 1722700000.0), (2021, 'Pennsylvania', 'Mining (except oil and gas)', 1688000000.0), (2021, 'Michigan', 'Mining (except oil and gas)', 1652800000.0), (2021, 'Alabama', 'Mining (except oil and gas)', 1401100000.0), (2021, 'Missouri', 'Mining (except oil and gas)', 1288700000.0), (2021, 'Florida', 'Mining (except oil and gas)', 1269100000.0), (2021, 'Tennessee', 'Mining (except oil and gas)', 1252500000.0), (2021, 'Colorado', 'Mining (except oil and gas)', 1230000000.0), (2021, 'New Mexico', 'Mining (except oil and gas)', 1061900030.0), (2021, 'Idaho', 'Mining (except oil and gas)', 1053500030.0), (2021, 'Ohio', 'Mining (except oil and gas)', 1051200000.0), (2021, 'Montana', 'Mining (except oil and gas)', 1027299970.0), (2021, 'North Carolina', 'Mining (except oil and gas)', 986300030.0), (2021, 'Illinois', 'Mining (except oil and gas)', 960600000.0), (2021, 'Virginia', 'Mining (except oil and gas)', 955299970.0), (2021, 'Kentucky', 'Mining (except oil and gas)', 914099970.0), (2021, 'New York', 'Mining (except oil and gas)', 837900030.0), (2021, 'Indiana', 'Mining (except oil and gas)', 787200000.0), (2021, 'Iowa', 'Mining (except oil and gas)', 644899970.0), (2021, 'South Carolina', 'Mining (except oil and gas)', 630300030.0), (2021, 'Oklahoma', 'Mining (except oil and gas)', 611600000.0), (2021, 'Wisconsin', 'Mining (except oil and gas)', 577500030.0), (2021, 'Kansas', 'Mining (except oil and gas)', 524300000.0), (2021, 'North Dakota', 'Mining (except oil and gas)', 522100000.0), (2021, 'Washington', 'Mining (except oil and gas)', 486000000.0), (2021, 'New Jersey', 'Mining (except oil and gas)', 476300000.0), (2021, 'Louisiana', 'Mining (except oil and gas)', 374800000.0), (2021, 'Oregon', 'Mining (except oil and gas)', 356800000.0), (2021, 'Arkansas', 'Mining (except oil and gas)', 334100000.0), (2021, 'Maryland', 'Mining (except oil and gas)', 210200000.0), (2021, 'South Dakota', 'Mining (except oil and gas)', 203100000.0), (2021, 'Connecticut', 'Mining (except oil and gas)', 179600000.0), (2021, 'Nebraska', 'Mining (except oil and gas)', 168700000.0), (2021, 'Vermont', 'Mining (except oil and gas)', 165100000.0), (2021, 'Mississippi', 'Mining (except oil and gas)', 159000000.0), (2021, 'Massachusetts', 'Mining (except oil and gas)', 143700000.0), (2021, 'New Hampshire', 'Mining (except oil and gas)', 124100000.0), (2021, 'Hawaii', 'Mining (except oil and gas)', 89700000.0), (2021, 'Maine', 'Mining (except oil and gas)', 69700000.0), (2021, 'Rhode Island', 'Mining (except oil and gas)', 64700000.0), (2021, 'Delaware', 'Mining (except oil and gas)', 7700000.0), (2021, 'District of Columbia', 'Mining (except oil and gas)', 0.0)]","The states with the largest 'Mining (except oil and gas)' industry in 2021 are as follows:

1. Arizona with a value of 6,869,600,300
2. West Virginia with a value of 5,361,200,000
3. Nevada with a value of 5,317,300,000
4. Texas with a value of 3,829,500,000
5. California with a value of 3,040,600,000

Please note that the values are in dollars."
Which industries had the most job openings in Oregon in 2011?,"SELECT year, industry_name, data_element, value 
FROM bls_job_turnover 
WHERE data_element = 'Job openings' 
AND state = 'Oregon' 
AND size_class = 'All size classes' 
AND rate_level = 'Level' 
AND year = 2011 
AND month_name = 'Annual' 
AND industry_name != 'Total nonfarm' 
AND industry_name != 'Total private' 
AND industry_name != 'Other services' 
ORDER BY value DESC--
-- This query selects the year, industry name, data element, and value from the bls_job_turnover table where the data element is 'Job openings', the state is 'Oregon', the size class is 'All size classes', the rate level is 'Level', the year is 2011, the month name is 'Annual', and the industry name is not 'Total nonfarm', 'Total private', or 'Other services'. The results are ordered in descending order by value.","SELECT year, industry_name, data_element, value FROM bls_job_turnover WHERE data_element = 'Job openings' AND state = 'Oregon' AND size_class = 'All size classes' AND rate_level = 'Level' AND year = 2011 AND month_name = 'Annual' AND industry_name != 'Total nonfarm' AND industry_name != 'Total private' AND industry_name != 'Other services' ORDER BY value DESC",19.42442460701568,True,The data does not provide information on which industries had the most job openings in Oregon in 2011.,4.342608614999335,[],The data for job openings in various industries in Oregon for the year 2011 is not available in the database.
How is the US job market?,"SELECT year, AVG(value) as average_employment 
FROM bls_current_employment 
WHERE data_type = 'ALL EMPLOYEES, THOUSANDS' AND period_name = 'Annual Average' AND industry_name = 'Total nonfarm' 
GROUP BY year 
ORDER BY year DESC 
LIMIT 10;--
-- This query selects the year and average employment from the bls_current_employment table where the data type is 'ALL EMPLOYEES, THOUSANDS', the period name is 'Annual Average', and the industry name is 'Total nonfarm'. It groups the results by year and orders them in descending order to show the most recent years first. The query limits the results to the top 10 to provide a snapshot of the job market over the last decade.","SELECT (real_earnings_2023.value - real_earnings_2022.value)/real_earnings_2022.value as real_wage_change, (nominal_earnings_2023.value - nominal_earnings_2022.value)/nominal_earnings_2022.value as nominal_wage_change FROM bls_current_employment real_earnings_2023, bls_current_employment real_earnings_2022, bls_current_employment nominal_earnings_2023, bls_current_employment nominal_earnings_2022 WHERE real_earnings_2023.data_type = 'AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES, 1982-1984 DOLLARS' AND real_earnings_2023.supersector_name = 'Total private' AND real_earnings_2023.seasonal = 'Seasonally Adjusted' AND real_earnings_2023.year = 2023 AND real_earnings_2023.period_name = 'July' AND real_earnings_2022.data_type = 'AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES, 1982-1984 DOLLARS' AND real_earnings_2022.supersector_name = 'Total private' AND real_earnings_2022.seasonal = 'Seasonally Adjusted' AND real_earnings_2022.year = 2022 AND real_earnings_2022.period_name = 'July' AND nominal_earnings_2023.data_type = 'AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES' AND nominal_earnings_2023.supersector_name = 'Total private' AND nominal_earnings_2023.seasonal = 'Seasonally Adjusted' AND nominal_earnings_2023.year = 2023 AND nominal_earnings_2023.period_name = 'July' AND nominal_earnings_2022.data_type = 'AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES' AND nominal_earnings_2022.supersector_name = 'Total private' AND nominal_earnings_2022.seasonal = 'Seasonally Adjusted' AND nominal_earnings_2022.year = 2022 AND nominal_earnings_2022.period_name = 'July' -- this query calculates the percent change in real (inflation-adjusted) and nominal wages over the last year, using the most recently-available month and year (July 2023)",13.625666224979796,True,"The US job market has been generally increasing over the past decade. In 2013, the average employment was approximately 136.36 million. This number increased each year, reaching approximately 150.90 million in 2019. However, there was a decrease in 2020 to approximately 142.19 million, likely due to the impact of the COVID-19 pandemic. The job market began to recover in 2021 with an average employment of approximately 146.28 million and continued to increase in 2022 to approximately 152.58 million.",11.456884193001315,"[(2022, 152575008.0), (2021, 146284992.0), (2020, 142186000.0), (2019, 150904000.0), (2018, 148908000.0), (2017, 146607008.0), (2016, 144335008.0), (2015, 141824000.0), (2014, 138939008.0), (2013, 136363008.0)]","The US job market has seen a positive change in both real and nominal wages over the last year, up to July 2023. The real wage, which is adjusted for inflation, has increased by approximately 1.09%. The nominal wage, which is not adjusted for inflation, has seen a larger increase of approximately 4.36%. This suggests that workers are earning more, both in terms of their purchasing power and in absolute terms."
