,question,top_0,top_1,top_2,top_3,top_4,SQL Query,ground_truth,execution_time,ground_truth_validity,SQL Query Execution Validity,SQL Query Results,ground_truth_results,Cosine Similarity Generated vs True,SQL Query Critic Score
71,What percent of employees quit their jobs in the Leisure and hospitality industry in December 2022?,"['What percent of employees quit their jobs in the Government industry in March 2020?', 0.8679958756588492]","['What percent of employees quit their jobs in the Other services industry in October 2015?', 0.8516692146457681]","['What percent of employees quit their jobs in the Nondurable goods manufacturing industry in March 2017?', 0.851379430085608]","['What percent of employees quit their jobs in the Total private industry in April 2005?', 0.8482029403887726]","['How many Quits were there in Retail trade in 2022?', 0.8424573171088329]","SELECT data_element, industry_name, value FROM bls_job_turnover WHERE data_element = 'Quits' AND industry_name = 'Leisure and hospitality' AND state = 'Total US' AND size_class = 'All size classes' AND rate_level = 'Rate' AND year = 2022 AND month_name = 'December' AND seasonal = 'Seasonally Adjusted';","SELECT data_element, industry_name, value FROM bls_job_turnover WHERE data_element = 'Quits' AND industry_name = 'Leisure and hospitality' AND state = 'Total US' AND size_class = 'All size classes' AND rate_level = 'Rate' AND year = 2022 AND month_name = 'December' AND seasonal = 'Seasonally Adjusted';",15.672689366998384,True,1,"[('Quits', 'Leisure and hospitality', 0.049)]","[('Quits', 'Leisure and hospitality', 0.049)]",1.0,1.0
72,What percent of employees quit their jobs in the Nondurable goods manufacturing industry in March 2017?,"['What percent of employees quit their jobs in the Government industry in March 2020?', 0.8895703618539188]","['What percent of employees quit their jobs in the Total private industry in April 2005?', 0.868584071206343]","['What percent of employees quit their jobs in the Other services industry in October 2015?', 0.8656354444031409]","['What percent of employees quit their jobs in the Leisure and hospitality industry in December 2022?', 0.8552597746758248]","['How many Quits were there in Retail trade in 2022?', 0.824836006637694]","SELECT data_element, industry_name, value FROM bls_job_turnover WHERE data_element = 'Quits' AND industry_name = 'Nondurable goods manufacturing' AND state = 'Total US' AND size_class = 'All size classes' AND rate_level = 'Rate' AND year = 2017 AND month_name = 'March' AND seasonal = 'Seasonally Adjusted';","SELECT data_element, industry_name, value FROM bls_job_turnover WHERE data_element = 'Quits' AND industry_name = 'Nondurable goods manufacturing' AND state = 'Total US' AND size_class = 'All size classes' AND rate_level = 'Rate' AND year = 2017 AND month_name = 'March' AND seasonal = 'Seasonally Adjusted';",4.758860377998644,True,1,"[('Quits', 'Nondurable goods manufacturing', 0.02)]","[('Quits', 'Nondurable goods manufacturing', 0.02)]",1.0,1.0
73,What percent of employees quit their jobs in the Total private industry in April 2005?,"['What percent of employees quit their jobs in the Government industry in March 2020?', 0.8710602011834555]","['What percent of employees quit their jobs in the Other services industry in October 2015?', 0.8652388308605401]","['What percent of employees quit their jobs in the Nondurable goods manufacturing industry in March 2017?', 0.85897518939416]","['What percent of employees quit their jobs in the Leisure and hospitality industry in December 2022?', 0.8405306780581007]","['What percentage of the population is working or actively seeking work?', 0.8144774430645163]","SELECT data_element, industry_name, value FROM bls_job_turnover WHERE data_element = 'Quits' AND industry_name = 'Total private' AND state = 'Total US' AND size_class = 'All size classes' AND rate_level = 'Rate' AND year = 2005 AND month_name = 'April' AND seasonal = 'Seasonally Adjusted';","SELECT data_element, industry_name, value FROM bls_job_turnover WHERE data_element = 'Quits' AND industry_name = 'Total private' AND state = 'Total US' AND size_class = 'All size classes' AND rate_level = 'Rate' AND year = 2005 AND month_name = 'April' AND seasonal = 'Seasonally Adjusted';",5.359614771998167,True,1,"[('Quits', 'Total private', 0.023)]","[('Quits', 'Total private', 0.023)]",1.0000000000000002,1.0
74,Which industries had the most job openings in Oregon in 2011?,"['Which industries had the most job openings in West region in 2022?', 0.828578326595634]","['How many Job openings were there in Education and health services in 2013?', 0.8173731440051084]","['Which industries had the most job openings in Mississippi in 2009?', 0.8090426525102582]","['Which industries had the most job openings in Nevada in 2011?', 0.8074513801286012]","['What was the GDP of Oregon in 1999?', 0.8044076807895508]","SELECT year, industry_name, data_element, value FROM bls_job_turnover WHERE data_element = 'Job openings' AND state = 'Oregon' AND size_class = 'All size classes' AND rate_level = 'Level' AND year = 2011 AND month_name = 'Annual' AND industry_name != 'Total nonfarm' AND industry_name != 'Total private' AND industry_name != 'Other services' ORDER BY value DESC","SELECT year, industry_name, data_element, value FROM bls_job_turnover WHERE data_element = 'Job openings' AND state = 'Oregon' AND size_class = 'All size classes' AND rate_level = 'Level' AND year = 2011 AND month_name = 'Annual' AND industry_name != 'Total nonfarm' AND industry_name != 'Total private' AND industry_name != 'Other services' ORDER BY value DESC",8.004061884999828,True,1,[],[],1.0000000000000002,1.0
75,Which industries had the most job openings in Maryland in 2021?,"['Which industries had the most job openings in West region in 2022?', 0.8332657458463452]","['Which industries had the most job openings in Oregon in 2011?', 0.8117851517590146]","['Which industries had the most job openings in Mississippi in 2009?', 0.8078504885230052]","['What was the GDP of Maryland in 2019?', 0.8056143733746206]","['Which industries grew the most between 2010 and 2020 in Virginia?', 0.7985976321554947]","SELECT year, industry_name, data_element, value FROM bls_job_turnover WHERE data_element = 'Job openings' AND state = 'Maryland' AND size_class = 'All size classes' AND rate_level = 'Level' AND year = 2021 AND month_name = 'Annual' AND industry_name != 'Total nonfarm' AND industry_name != 'Total private' AND industry_name != 'Other services' ORDER BY value DESC","SELECT year, industry_name, data_element, value FROM bls_job_turnover WHERE data_element = 'Job openings' AND state = 'Maryland' AND size_class = 'All size classes' AND rate_level = 'Level' AND year = 2021 AND month_name = 'Annual' AND industry_name != 'Total nonfarm' AND industry_name != 'Total private' AND industry_name != 'Other services' ORDER BY value DESC",10.19454081299773,True,1,[],[],1.0000000000000002,1.0
76,Which industries had the most job openings in West region in 2022?,"['Which industries had the most job openings in Oregon in 2011?', 0.8073531147724001]","['Which industries had the most job openings in Maryland in 2021?', 0.7975302254367183]","['How many Job openings were there in Education and health services in 2013?', 0.7969126374962145]","['What are the salaries of the states with the highest salaries in 2022?', 0.7891968070974142]","['Which industries had the most job openings in Mississippi in 2009?', 0.7855480089704554]","SELECT year, industry_name, data_element, value FROM bls_job_turnover WHERE data_element = 'Job openings' AND region = 'West' AND size_class = 'All size classes' AND rate_level = 'Level' AND year = 2022 AND month_name = 'Annual' AND industry_name != 'Total nonfarm' AND industry_name != 'Total private' AND industry_name != 'Other services' ORDER BY value DESC","SELECT year, industry_name, data_element, value FROM bls_job_turnover WHERE data_element = 'Job openings' AND state = 'West region' AND size_class = 'All size classes' AND rate_level = 'Level' AND year = 2022 AND month_name = 'Annual' AND industry_name != 'Total nonfarm' AND industry_name != 'Total private' AND industry_name != 'Other services' ORDER BY value DESC",5.623961213001167,True,0,Error,[],0.8086159967224531,0.0
77,Which industries had the most job openings in Nevada in 2011?,"['Which industries had the most job openings in Oregon in 2011?', 0.8351101659779515]","['Which industries had the most job openings in West region in 2022?', 0.8231520177012166]","['Which industries had the most job openings in Mississippi in 2009?', 0.8180722752026236]","['How many Job openings were there in Education and health services in 2013?', 0.8055925302045531]","['Which industries grew the most between 2010 and 2020 in Virginia?', 0.7952630682875728]","SELECT year, industry_name, data_element, value FROM bls_job_turnover WHERE data_element = 'Job openings' AND state = 'Nevada' AND size_class = 'All size classes' AND rate_level = 'Level' AND year = 2011 AND month_name = 'Annual' AND industry_name != 'Total nonfarm' AND industry_name != 'Total private' AND industry_name != 'Other services' ORDER BY value DESC","SELECT year, industry_name, data_element, value FROM bls_job_turnover WHERE data_element = 'Job openings' AND state = 'Nevada' AND size_class = 'All size classes' AND rate_level = 'Level' AND year = 2011 AND month_name = 'Annual' AND industry_name != 'Total nonfarm' AND industry_name != 'Total private' AND industry_name != 'Other services' ORDER BY value DESC",14.91586959399865,True,1,[],[],1.0000000000000002,1.0
78,Which industries had the most job openings in Mississippi in 2009?,"['Which industries grew the most between 2010 and 2020 in Mississippi?', 0.8510488534259517]","['Which industries had the most job openings in Oregon in 2011?', 0.8077655631143065]","['Which industries had the most job openings in West region in 2022?', 0.8020750950002994]","['How many Job openings were there in Education and health services in 2013?', 0.7965390346773243]","['Which industries had the most job openings in Nevada in 2011?', 0.7882178142291344]","SELECT year, industry_name, data_element, value FROM bls_job_turnover WHERE data_element = 'Job openings' AND state = 'Mississippi' AND size_class = 'All size classes' AND rate_level = 'Level' AND year = 2009 AND month_name = 'Annual' AND industry_name != 'Total nonfarm' AND industry_name != 'Total private' AND industry_name != 'Other services' ORDER BY value DESC","SELECT year, industry_name, data_element, value FROM bls_job_turnover WHERE data_element = 'Job openings' AND state = 'Mississippi' AND size_class = 'All size classes' AND rate_level = 'Level' AND year = 2009 AND month_name = 'Annual' AND industry_name != 'Total nonfarm' AND industry_name != 'Total private' AND industry_name != 'Other services' ORDER BY value DESC",8.647427439998864,True,1,[],[],1.0000000000000002,1.0
79,What percent of Florida's economy is the Petroleum and coal products industry in 2022?,"[""What percent of Illinois's economy is the Petroleum and coal products manufacturing industry in 2022?"", 0.9008336974507263]","[""What percent of Colorado's economy is the Insurance carriers and related activities industry in 2022?"", 0.8506745099414693]","[""What percent of Michigan's economy is the Fabricated metal products industry in 2022?"", 0.8279418452411994]","[""What percent of Tennessee's economy is the Electronic equipment and instruments industry in 2022?"", 0.8245809530215934]","['What percent of employees quit their jobs in the Leisure and hospitality industry in December 2022?', 0.784317299998164]","SELECT gdpindustry.year AS year, gdptotal.value AS total_gdp, gdpindustry.value AS industry_GDP, gdpindustry.value/gdptotal.value AS industry_proportion FROM bea_gross_domestic_product_by_year AS gdptotal, bea_gross_domestic_product_by_year AS gdpindustry WHERE gdptotal.area_name = 'Florida' AND gdptotal.year = 2022 AND gdptotal.industry_type = 'Total' AND gdptotal.measurement_name = 'Real GDP by state' AND gdpindustry.area_name = 'Florida' AND gdpindustry.year = 2022 AND gdpindustry.industry_name = 'Petroleum and coal products manufacturing' AND gdpindustry.measurement_name = 'Real GDP by state'","SELECT gdpindustry.year AS year, gdptotal.value AS total_gdp, gdpindustry.value AS industry_GDP, gdpindustry.value/gdptotal.value AS industry_proportion FROM bea_gross_domestic_product_by_year AS gdptotal, bea_gross_domestic_product_by_year AS gdpindustry WHERE gdptotal.area_name = 'Florida' AND gdptotal.year = 2022 AND gdptotal.industry_type = 'Total' AND gdptotal.measurement_name = 'Real GDP by state' AND gdpindustry.area_name = 'Florida' AND gdpindustry.year = 2022 AND gdpindustry.industry_name = 'Petroleum and coal products' AND gdpindustry.measurement_name = 'Real GDP by state'",14.61952200900123,True,1,[],[],1.0000000000000002,1.0
80,What percent of Illinois's economy is the Petroleum and coal products manufacturing industry in 2022?,"[""What percent of Florida's economy is the Petroleum and coal products industry in 2022?"", 0.8976624530849595]","[""What percent of Michigan's economy is the Fabricated metal products industry in 2022?"", 0.8416414620612594]","[""What percent of Colorado's economy is the Insurance carriers and related activities industry in 2022?"", 0.8402384638578481]","[""What percent of Tennessee's economy is the Electronic equipment and instruments industry in 2022?"", 0.8353042544655774]","['What percent of employees quit their jobs in the Nondurable goods manufacturing industry in March 2017?', 0.7893234679693067]","SELECT gdpindustry.year AS year, gdptotal.value AS total_gdp, gdpindustry.value AS industry_GDP, gdpindustry.value/gdptotal.value AS industry_proportion FROM bea_gross_domestic_product_by_year AS gdptotal, bea_gross_domestic_product_by_year AS gdpindustry WHERE gdptotal.area_name = 'Illinois' AND gdptotal.year = 2022 AND gdptotal.industry_type = 'Total' AND gdptotal.measurement_name = 'Real GDP by state' AND gdpindustry.area_name = 'Illinois' AND gdpindustry.year = 2022 AND gdpindustry.industry_name = 'Petroleum and coal products manufacturing' AND gdpindustry.measurement_name = 'Real GDP by state'","SELECT gdpindustry.year AS year, gdptotal.value AS total_gdp, gdpindustry.value AS industry_GDP, gdpindustry.value/gdptotal.value AS industry_proportion FROM bea_gross_domestic_product_by_year AS gdptotal, bea_gross_domestic_product_by_year AS gdpindustry WHERE gdptotal.area_name = 'Illinois' AND gdptotal.year = 2022 AND gdptotal.industry_type = 'Total' AND gdptotal.measurement_name = 'Real GDP by state' AND gdpindustry.area_name = 'Illinois' AND gdpindustry.year = 2022 AND gdpindustry.industry_name = 'Petroleum and coal products manufacturing' AND gdpindustry.measurement_name = 'Real GDP by state'",14.405312123999463,True,1,[],[],1.0000000000000002,1.0
81,What percent of Colorado's economy is the Insurance carriers and related activities industry in 2022?,"[""What percent of Florida's economy is the Petroleum and coal products industry in 2022?"", 0.8494740569371568]","[""What percent of Illinois's economy is the Petroleum and coal products manufacturing industry in 2022?"", 0.8404610999862652]","[""What percent of Tennessee's economy is the Electronic equipment and instruments industry in 2022?"", 0.8050831251419318]","[""What percent of Michigan's economy is the Fabricated metal products industry in 2022?"", 0.8016600340483704]","['What percentage of consumer spending is allocated to different categories such as housing, food, transportation, healthcare, and entertainment?', 0.7966109683070104]","SELECT gdpindustry.year AS year, gdptotal.value AS total_gdp, gdpindustry.value AS industry_GDP, gdpindustry.value/gdptotal.value AS industry_proportion FROM bea_gross_domestic_product_by_year AS gdptotal, bea_gross_domestic_product_by_year AS gdpindustry WHERE gdptotal.area_name = 'Colorado' AND gdptotal.year = 2022 AND gdptotal.industry_type = 'Total' AND gdptotal.measurement_name = 'Real GDP by state' AND gdpindustry.area_name = 'Colorado' AND gdpindustry.year = 2022 AND gdpindustry.industry_name = 'Insurance carriers and related activities' AND gdpindustry.measurement_name = 'Real GDP by state'","SELECT gdpindustry.year AS year, gdptotal.value AS total_gdp, gdpindustry.value AS industry_GDP, gdpindustry.value/gdptotal.value AS industry_proportion FROM bea_gross_domestic_product_by_year AS gdptotal, bea_gross_domestic_product_by_year AS gdpindustry WHERE gdptotal.area_name = 'Colorado' AND gdptotal.year = 2022 AND gdptotal.industry_type = 'Total' AND gdptotal.measurement_name = 'Real GDP by state' AND gdpindustry.area_name = 'Colorado' AND gdpindustry.year = 2022 AND gdpindustry.industry_name = 'Insurance carriers and related activities' AND gdpindustry.measurement_name = 'Real GDP by state'",9.069467404002353,True,1,[],[],1.0000000000000002,1.0
82,What percent of Michigan's economy is the Fabricated metal products industry in 2022?,"[""What percent of Illinois's economy is the Petroleum and coal products manufacturing industry in 2022?"", 0.8539687398673181]","[""What percent of Tennessee's economy is the Electronic equipment and instruments industry in 2022?"", 0.8430715597558578]","[""What percent of Florida's economy is the Petroleum and coal products industry in 2022?"", 0.8366402294061721]","[""What percent of Colorado's economy is the Insurance carriers and related activities industry in 2022?"", 0.8160260140677627]","['What was the GDP of Michigan in 2013?', 0.8119776109561242]","SELECT gdpindustry.year AS year, gdptotal.value AS total_gdp, gdpindustry.value AS industry_GDP, gdpindustry.value/gdptotal.value AS industry_proportion FROM bea_gross_domestic_product_by_year AS gdptotal, bea_gross_domestic_product_by_year AS gdpindustry WHERE gdptotal.area_name = 'Michigan' AND gdptotal.year = 2022 AND gdptotal.industry_type = 'Total' AND gdptotal.measurement_name = 'Real GDP by state' AND gdpindustry.area_name = 'Michigan' AND gdpindustry.year = 2022 AND gdpindustry.industry_name = 'Fabricated metal products' AND gdpindustry.measurement_name = 'Real GDP by state'","SELECT gdpindustry.year AS year, gdptotal.value AS total_gdp, gdpindustry.value AS industry_GDP, gdpindustry.value/gdptotal.value AS industry_proportion FROM bea_gross_domestic_product_by_year AS gdptotal, bea_gross_domestic_product_by_year AS gdpindustry WHERE gdptotal.area_name = 'Michigan' AND gdptotal.year = 2022 AND gdptotal.industry_type = 'Total' AND gdptotal.measurement_name = 'Real GDP by state' AND gdpindustry.area_name = 'Michigan' AND gdpindustry.year = 2022 AND gdpindustry.industry_name = 'Fabricated metal products' AND gdpindustry.measurement_name = 'Real GDP by state'",19.848198261002835,True,1,[],[],1.0000000000000002,1.0
83,What percent of Tennessee's economy is the Electronic equipment and instruments industry in 2022?,"[""What percent of Illinois's economy is the Petroleum and coal products manufacturing industry in 2022?"", 0.8310344655662208]","[""What percent of Michigan's economy is the Fabricated metal products industry in 2022?"", 0.8247793210383692]","[""What percent of Florida's economy is the Petroleum and coal products industry in 2022?"", 0.8164542455496986]","[""What percent of Colorado's economy is the Insurance carriers and related activities industry in 2022?"", 0.7963687153573253]","['What percent of employees quit their jobs in the Leisure and hospitality industry in December 2022?', 0.7871446858660809]","SELECT gdpindustry.year AS year, gdptotal.value AS total_gdp, gdpindustry.value AS industry_GDP, gdpindustry.value/gdptotal.value AS industry_proportion FROM bea_gross_domestic_product_by_year AS gdptotal, bea_gross_domestic_product_by_year AS gdpindustry WHERE gdptotal.area_name = 'Tennessee' AND gdptotal.year = 2022 AND gdptotal.industry_type = 'Total' AND gdptotal.measurement_name = 'Real GDP by state' AND gdpindustry.area_name = 'Tennessee' AND gdpindustry.year = 2022 AND gdpindustry.industry_name = 'Electronic equipment and instruments' AND gdpindustry.measurement_name = 'Real GDP by state'","SELECT gdpindustry.year AS year, gdptotal.value AS total_gdp, gdpindustry.value AS industry_GDP, gdpindustry.value/gdptotal.value AS industry_proportion FROM bea_gross_domestic_product_by_year AS gdptotal, bea_gross_domestic_product_by_year AS gdpindustry WHERE gdptotal.area_name = 'Tennessee' AND gdptotal.year = 2022 AND gdptotal.industry_type = 'Total' AND gdptotal.measurement_name = 'Real GDP by state' AND gdpindustry.area_name = 'Tennessee' AND gdpindustry.year = 2022 AND gdpindustry.industry_name = 'Electronic equipment and instruments' AND gdpindustry.measurement_name = 'Real GDP by state'",14.927593798001908,True,1,[],[],1.0000000000000002,1.0
84,Which industries grew the most between 2010 and 2020 in Georgia?,"['What industries most impacted GDP in Georgia in 2017?', 0.8520476786021184]","['Which industries grew the most between 2010 and 2020 in Mississippi?', 0.8249887872145734]","['Which industries grew the most between 2010 and 2020 in Oklahoma?', 0.822154428821858]","['Which industries grew the most between 2010 and 2020 in Virginia?', 0.819958694998345]","['Which industries grew the most between 2010 and 2020 in New Jersey?', 0.8175040798029525]","SELECT gdp2020.industry_name, gdp2020.value AS value_2020, gdp2010.value AS value_2010, (gdp2020.value - gdp2010.value)/gdp2010.value AS gdp_percent_change FROM bea_gross_domestic_product_by_year AS gdp2020, bea_gross_domestic_product_by_year AS gdp2010 WHERE gdp2020.area_name = 'Georgia' AND gdp2020.year = 2020 AND gdp2020.industry_type = 'Sector' AND gdp2020.measurement_name = 'Real GDP by state' AND gdp2010.area_name = 'Georgia' AND gdp2010.year = 2010 AND gdp2010.industry_type = 'Sector' AND gdp2010.measurement_name = 'Real GDP by state' AND gdp2020.area_name = gdp2010.area_name AND gdp2020.industry_name = gdp2010.industry_name ORDER BY gdp_percent_change DESC;","SELECT gdp2020.industry_name, gdp2020.value AS value_2020, gdp2010.value AS value_2010, (gdp2020.value - gdp2010.value)/gdp2010.value AS gdp_percent_change FROM bea_gross_domestic_product_by_year AS gdp2020, bea_gross_domestic_product_by_year AS gdp2010 WHERE gdp2020.area_name = 'Georgia' AND gdp2020.year = 2020 AND gdp2020.industry_type = 'Sector' AND gdp2020.measurement_name = 'Real GDP by state' AND gdp2010.area_name = 'Georgia' AND gdp2010.year = 2010 AND gdp2010.industry_type = 'Sector' AND gdp2010.measurement_name = 'Real GDP by state' AND gdp2020.area_name = gdp2010.area_name AND gdp2020.industry_name = gdp2010.industry_name ORDER BY gdp_percent_change DESC;",10.96590334999928,True,1,"[('Information', 52416700000.0, 32543500000.0, 0.61066574), ('Professional and business services', 74240100000.0, 48933300000.0, 0.5171693), ('Construction', 21699500000.0, 14875300000.0, 0.4587605), ('Finance, insurance, real estate, rental, and leasing', 111002400000.0, 82268400000.0, 0.34927148), ('Educational services, health care, and social assistance', 41675900000.0, 33181100000.0, 0.25601318), ('Retail trade', 31390800000.0, 25231200000.0, 0.2441263), ('Mining, quarrying, and oil and gas extraction', 1632500000.0, 1334800000.0, 0.22302964), ('Wholesale trade', 40183300000.0, 34351300000.0, 0.16977522), ('Utilities', 9821300000.0, 8638300000.0, 0.13694818), ('Agriculture, forestry, fishing and hunting', 4454300000.0, 3965000000.0, 0.12340485), ('Federal civilian', 13971500000.0, 12527000000.0, 0.115310974), ('Manufacturing', 50972600000.0, 47603700000.0, 0.07076968), ('State and local', 38662100000.0, 39146900000.0, -0.012384187), ('Transportation and warehousing', 17204500000.0, 17422500000.0, -0.012512519), ('Other services (except government and government enterprises)', 8570600000.0, 8806200000.0, -0.026753921), ('Arts, entertainment, recreation, accommodation, and food services', 13688900000.0, 14107300000.0, -0.029658422), ('Military', 7301900000.0, 8886000000.0, -0.17826918)]","[('Information', 52416700000.0, 32543500000.0, 0.61066574), ('Professional and business services', 74240100000.0, 48933300000.0, 0.5171693), ('Construction', 21699500000.0, 14875300000.0, 0.4587605), ('Finance, insurance, real estate, rental, and leasing', 111002400000.0, 82268400000.0, 0.34927148), ('Educational services, health care, and social assistance', 41675900000.0, 33181100000.0, 0.25601318), ('Retail trade', 31390800000.0, 25231200000.0, 0.2441263), ('Mining, quarrying, and oil and gas extraction', 1632500000.0, 1334800000.0, 0.22302964), ('Wholesale trade', 40183300000.0, 34351300000.0, 0.16977522), ('Utilities', 9821300000.0, 8638300000.0, 0.13694818), ('Agriculture, forestry, fishing and hunting', 4454300000.0, 3965000000.0, 0.12340485), ('Federal civilian', 13971500000.0, 12527000000.0, 0.115310974), ('Manufacturing', 50972600000.0, 47603700000.0, 0.07076968), ('State and local', 38662100000.0, 39146900000.0, -0.012384187), ('Transportation and warehousing', 17204500000.0, 17422500000.0, -0.012512519), ('Other services (except government and government enterprises)', 8570600000.0, 8806200000.0, -0.026753921), ('Arts, entertainment, recreation, accommodation, and food services', 13688900000.0, 14107300000.0, -0.029658422), ('Military', 7301900000.0, 8886000000.0, -0.17826918)]",1.0,1.0
85,Which industries grew the most between 2010 and 2020 in Oklahoma?,"['Which industry contributed most to GDP growth in Oklahoma in 1973?', 0.8558842267495084]","['What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in Oklahoma?', 0.844331261607601]","['What industries most impacted GDP in Oklahoma in 1979?', 0.8340919716366794]","['Which industries grew the most between 2010 and 2020 in Georgia?', 0.831249042260328]","['Which industries grew the most between 2010 and 2020 in Mississippi?', 0.8178209446472986]","SELECT gdp2020.industry_name, gdp2020.value AS value_2020, gdp2010.value AS value_2010, (gdp2020.value - gdp2010.value)/gdp2010.value AS gdp_percent_change FROM bea_gross_domestic_product_by_year AS gdp2020, bea_gross_domestic_product_by_year AS gdp2010 WHERE gdp2020.area_name = 'Oklahoma' AND gdp2020.year = 2020 AND gdp2020.industry_type = 'Sector' AND gdp2020.measurement_name = 'Real GDP by state' AND gdp2010.area_name = 'Oklahoma' AND gdp2010.year = 2010 AND gdp2010.industry_type = 'Sector' AND gdp2010.measurement_name = 'Real GDP by state' AND gdp2020.area_name = gdp2010.area_name AND gdp2020.industry_name = gdp2010.industry_name ORDER BY gdp_percent_change DESC;","SELECT gdp2020.industry_name, gdp2020.value AS value_2020, gdp2010.value AS value_2010, (gdp2020.value - gdp2010.value)/gdp2010.value AS gdp_percent_change FROM bea_gross_domestic_product_by_year AS gdp2020, bea_gross_domestic_product_by_year AS gdp2010 WHERE gdp2020.area_name = 'Oklahoma' AND gdp2020.year = 2020 AND gdp2020.industry_type = 'Sector' AND gdp2020.measurement_name = 'Real GDP by state' AND gdp2010.area_name = 'Oklahoma' AND gdp2010.year = 2010 AND gdp2010.industry_type = 'Sector' AND gdp2010.measurement_name = 'Real GDP by state' AND gdp2020.area_name = gdp2010.area_name AND gdp2020.industry_name = gdp2010.industry_name ORDER BY gdp_percent_change DESC;",16.921086549999018,True,1,"[('Transportation and warehousing', 9062300000.0, 5005200000.0, 0.810577), ('Mining, quarrying, and oil and gas extraction', 39404200000.0, 21870000000.0, 0.80174667), ('Information', 6113500000.0, 3946600000.0, 0.5490549), ('Professional and business services', 16069700000.0, 12865200000.0, 0.24908276), ('Agriculture, forestry, fishing and hunting', 3386600000.0, 2829500000.0, 0.19688992), ('Retail trade', 11181200000.0, 9656700000.0, 0.15786971), ('Educational services, health care, and social assistance', 14119400000.0, 12362300000.0, 0.14213374), ('Federal civilian', 5789700000.0, 5281300000.0, 0.096264206), ('Manufacturing', 16911800000.0, 15748400000.0, 0.07387418), ('Finance, insurance, real estate, rental, and leasing', 23515300000.0, 22175800000.0, 0.06040371), ('Wholesale trade', 8453700000.0, 8156100000.0, 0.036488026), ('Utilities', 3481700000.0, 3444700000.0, 0.010741195), ('State and local', 18797900000.0, 19024800000.0, -0.011926536), ('Other services (except government and government enterprises)', 3318400000.0, 3494200000.0, -0.050311964), ('Arts, entertainment, recreation, accommodation, and food services', 5243900000.0, 5545700000.0, -0.05442053), ('Construction', 5268700000.0, 6219100000.0, -0.15281953), ('Military', 2520600000.0, 3013000000.0, -0.16342512)]","[('Transportation and warehousing', 9062300000.0, 5005200000.0, 0.810577), ('Mining, quarrying, and oil and gas extraction', 39404200000.0, 21870000000.0, 0.80174667), ('Information', 6113500000.0, 3946600000.0, 0.5490549), ('Professional and business services', 16069700000.0, 12865200000.0, 0.24908276), ('Agriculture, forestry, fishing and hunting', 3386600000.0, 2829500000.0, 0.19688992), ('Retail trade', 11181200000.0, 9656700000.0, 0.15786971), ('Educational services, health care, and social assistance', 14119400000.0, 12362300000.0, 0.14213374), ('Federal civilian', 5789700000.0, 5281300000.0, 0.096264206), ('Manufacturing', 16911800000.0, 15748400000.0, 0.07387418), ('Finance, insurance, real estate, rental, and leasing', 23515300000.0, 22175800000.0, 0.06040371), ('Wholesale trade', 8453700000.0, 8156100000.0, 0.036488026), ('Utilities', 3481700000.0, 3444700000.0, 0.010741195), ('State and local', 18797900000.0, 19024800000.0, -0.011926536), ('Other services (except government and government enterprises)', 3318400000.0, 3494200000.0, -0.050311964), ('Arts, entertainment, recreation, accommodation, and food services', 5243900000.0, 5545700000.0, -0.05442053), ('Construction', 5268700000.0, 6219100000.0, -0.15281953), ('Military', 2520600000.0, 3013000000.0, -0.16342512)]",1.0000000000000002,1.0
