question,SQL Query,ground_truth,nl_to_sql_execution_time,ground_truth_validity,SQL-to-NL response,sql_to_nl_execution_time,SQL Query Results,Ground Truth SQL-to-NL response,Ground Truth SQL Execution Results,retries
What industries most impacted GDP in Wisconsin in 2005?,"SELECT industry_name, value as GDP 
FROM bea_gross_domestic_product_by_year 
WHERE area_name = 'Wisconsin' AND year = 2005 AND industry_type = 'Sector' AND measurement_name = 'Real GDP by state' 
ORDER BY value DESC
-- This query selects the industry name and its corresponding GDP value from the bea_gross_domestic_product_by_year table for the year 2005 in Wisconsin. It only considers entries where the industry type is 'Sector' and the measurement name is 'Real GDP by state'. The results are ordered in descending order by the GDP value to show the industries that most impacted the GDP.","SELECT industry_name, value as GDP FROM bea_gross_domestic_product_by_year WHERE area_name = 'Wisconsin' AND year = 2005 AND industry_type = 'Sector' AND measurement_name = 'Real GDP by state' ORDER BY value DESC",16.967114930041134,True,"The industries that most impacted GDP in Wisconsin in 2005 were:

1. Manufacturing, with a GDP of $51,638,400,000.
2. Finance, insurance, real estate, rental, and leasing, with a GDP of $48,572,900,000.
3. State and local, with a GDP of $27,529,700,000.
4. Educational services, health care, and social assistance, with a GDP of $23,920,400,000.
5. Professional and business services, with a GDP of $21,392,900,000.

These were followed by retail trade, wholesale trade, construction, transportation and warehousing, and arts, entertainment, recreation, accommodation, and food services. The industries with the least impact on the GDP were federal civilian, military, and mining, quarrying, and oil and gas extraction.",8.680735424975865,"[('Manufacturing', 51638400000.0), ('Finance, insurance, real estate, rental, and leasing', 48572900000.0), ('State and local', 27529700000.0), ('Educational services, health care, and social assistance', 23920400000.0), ('Professional and business services', 21392900000.0), ('Retail trade', 17048800000.0), ('Wholesale trade', 16349200000.0), ('Construction', 12751900000.0), ('Transportation and warehousing', 8442300000.0), ('Arts, entertainment, recreation, accommodation, and food services', 8257700000.0), ('Information', 7021500000.0), ('Other services (except government and government enterprises)', 6978500000.0), ('Agriculture, forestry, fishing and hunting', 5254800000.0), ('Utilities', 3922200000.0), ('Federal civilian', 3461500000.0), ('Military', 925900030.0), ('Mining, quarrying, and oil and gas extraction', 758000000.0)]","The industries that most impacted GDP in Wisconsin in 2005 were:

1. Manufacturing, with a GDP of $51,638,400,000.
2. Finance, insurance, real estate, rental, and leasing, with a GDP of $48,572,900,000.
3. State and local, with a GDP of $27,529,700,000.
4. Educational services, health care, and social assistance, with a GDP of $23,920,400,000.
5. Professional and business services, with a GDP of $21,392,900,000.

These were followed by retail trade, wholesale trade, construction, transportation and warehousing, and arts, entertainment, recreation, accommodation, and food services. The least contributing industries were federal civilian, military, and mining, quarrying, and oil and gas extraction.","[('Manufacturing', 51638400000.0), ('Finance, insurance, real estate, rental, and leasing', 48572900000.0), ('State and local', 27529700000.0), ('Educational services, health care, and social assistance', 23920400000.0), ('Professional and business services', 21392900000.0), ('Retail trade', 17048800000.0), ('Wholesale trade', 16349200000.0), ('Construction', 12751900000.0), ('Transportation and warehousing', 8442300000.0), ('Arts, entertainment, recreation, accommodation, and food services', 8257700000.0), ('Information', 7021500000.0), ('Other services (except government and government enterprises)', 6978500000.0), ('Agriculture, forestry, fishing and hunting', 5254800000.0), ('Utilities', 3922200000.0), ('Federal civilian', 3461500000.0), ('Military', 925900030.0), ('Mining, quarrying, and oil and gas extraction', 758000000.0)]",0
What industries most impacted GDP in Louisiana in 1988?,"SELECT industry_name, value as GDP 
FROM bea_gross_domestic_product_by_year 
WHERE area_name = 'Louisiana' AND year = 1988 AND industry_type = 'Sector' AND measurement_name = 'Real GDP by state' 
ORDER BY value DESC
-- This query selects the industry name and its corresponding GDP value from the bea_gross_domestic_product_by_year table for the state of Louisiana in the year 1988. The industries are sorted in descending order based on their GDP value to show the industries that most impacted the GDP.","SELECT industry_name, value as GDP FROM bea_gross_domestic_product_by_year WHERE area_name = 'Louisiana' AND year = 1988 AND industry_type = 'Sector' AND measurement_name = 'Real GDP by state' ORDER BY value DESC",7.481249172007665,True,"The industries that most impacted GDP in Louisiana in 1988 were Manufacturing, State and local, Retail trade, Wholesale trade, and Construction. Manufacturing had the highest impact with a GDP of $17.94 billion. This was followed by State and local with a GDP of $8.63 billion, Retail trade with a GDP of $7.31 billion, Wholesale trade with a GDP of $4.70 billion, and Construction with a GDP of $3.97 billion. Other industries that had a significant impact include Federal civilian with a GDP of $2.09 billion and Military with a GDP of $1.84 billion.",7.747543000034057,"[('Manufacturing', 17940100000.0), ('State and local', 8634400000.0), ('Retail trade', 7318000000.0), ('Wholesale trade', 4709700000.0), ('Construction', 3970400000.0), ('Federal civilian', 2098300000.0), ('Military', 1843900000.0)]","The industries that most impacted GDP in Louisiana in 1988 were Manufacturing, State and Local, Retail Trade, Wholesale Trade, and Construction. Manufacturing had the highest impact with a GDP of $17.94 billion. This was followed by State and Local with a GDP of $8.63 billion, Retail Trade with a GDP of $7.31 billion, Wholesale Trade with a GDP of $4.70 billion, and Construction with a GDP of $3.97 billion. Other industries such as Federal Civilian and Military also contributed to the GDP but to a lesser extent.","[('Manufacturing', 17940100000.0), ('State and local', 8634400000.0), ('Retail trade', 7318000000.0), ('Wholesale trade', 4709700000.0), ('Construction', 3970400000.0), ('Federal civilian', 2098300000.0), ('Military', 1843900000.0)]",0
What industries most impacted GDP in Georgia in 2017?,"SELECT industry_name, value as GDP 
FROM bea_gross_domestic_product_by_year 
WHERE area_name = 'Georgia' AND year = 2017 AND industry_type = 'Sector' AND measurement_name = 'Real GDP by state' 
ORDER BY value DESC
-- This query selects the industry name and GDP value from the bea_gross_domestic_product_by_year table where the area is Georgia, the year is 2017, the industry type is 'Sector', and the measurement name is 'Real GDP by state'. The results are ordered in descending order by the GDP value to show the industries that most impacted the GDP.","SELECT industry_name, value as GDP FROM bea_gross_domestic_product_by_year WHERE area_name = 'Georgia' AND year = 2017 AND industry_type = 'Sector' AND measurement_name = 'Real GDP by state' ORDER BY value DESC",20.97776991908904,True,"The industries that most impacted GDP in Georgia in 2017 were:

1. Finance, insurance, real estate, rental, and leasing with a GDP of $100,256,400,000.
2. Professional and business services with a GDP of $65,192,800,000.
3. Manufacturing with a GDP of $55,095,100,000.
4. Information with a GDP of $50,916,200,000.
5. Wholesale trade with a GDP of $41,429,100,000.

The least impacting industries were:

1. Mining, quarrying, and oil and gas extraction with a GDP of $1,451,600,000.
2. Agriculture, forestry, fishing and hunting with a GDP of $5,395,999,700.
3. Military with a GDP of $7,229,599,700.
4. Other services (except government and government enterprises) with a GDP of $8,983,800,000.
5. Utilities with a GDP of $9,524,000,000.",17.810886146966368,"[('Finance, insurance, real estate, rental, and leasing', 100256400000.0), ('Professional and business services', 65192800000.0), ('Manufacturing', 55095100000.0), ('Information', 50916200000.0), ('Wholesale trade', 41429100000.0), ('Educational services, health care, and social assistance', 39515200000.0), ('State and local', 39116900000.0), ('Retail trade', 30355000000.0), ('Transportation and warehousing', 21972200000.0), ('Construction', 19914900000.0), ('Arts, entertainment, recreation, accommodation, and food services', 16134200000.0), ('Federal civilian', 12971900000.0), ('Utilities', 9524000000.0), ('Other services (except government and government enterprises)', 8983800000.0), ('Military', 7229599700.0), ('Agriculture, forestry, fishing and hunting', 5395999700.0), ('Mining, quarrying, and oil and gas extraction', 1451600000.0)]","The industries that most impacted GDP in Georgia in 2017 were:

1. Finance, insurance, real estate, rental, and leasing with a GDP of $100,256,400,000.
2. Professional and business services with a GDP of $65,192,800,000.
3. Manufacturing with a GDP of $55,095,100,000.
4. Information with a GDP of $50,916,200,000.
5. Wholesale trade with a GDP of $41,429,100,000.

These were followed by educational services, health care, and social assistance; state and local; retail trade; transportation and warehousing; and construction. The least impacting industries were agriculture, forestry, fishing and hunting; mining, quarrying, and oil and gas extraction.","[('Finance, insurance, real estate, rental, and leasing', 100256400000.0), ('Professional and business services', 65192800000.0), ('Manufacturing', 55095100000.0), ('Information', 50916200000.0), ('Wholesale trade', 41429100000.0), ('Educational services, health care, and social assistance', 39515200000.0), ('State and local', 39116900000.0), ('Retail trade', 30355000000.0), ('Transportation and warehousing', 21972200000.0), ('Construction', 19914900000.0), ('Arts, entertainment, recreation, accommodation, and food services', 16134200000.0), ('Federal civilian', 12971900000.0), ('Utilities', 9524000000.0), ('Other services (except government and government enterprises)', 8983800000.0), ('Military', 7229599700.0), ('Agriculture, forestry, fishing and hunting', 5395999700.0), ('Mining, quarrying, and oil and gas extraction', 1451600000.0)]",0
What industries most impacted GDP in Iowa in 2013?,"SELECT industry_name, value as GDP 
FROM bea_gross_domestic_product_by_year 
WHERE area_name = 'Iowa' AND year = 2013 AND industry_type = 'Sector' AND measurement_name = 'Real GDP by state' 
ORDER BY value DESC
-- This query selects the industry name and GDP value from the bea_gross_domestic_product_by_year table where the area is Iowa, the year is 2013, the industry type is 'Sector', and the measurement name is 'Real GDP by state'. The results are ordered in descending order by the GDP value to show the industries that most impacted the GDP.","SELECT industry_name, value as GDP FROM bea_gross_domestic_product_by_year WHERE area_name = 'Iowa' AND year = 2013 AND industry_type = 'Sector' AND measurement_name = 'Real GDP by state' ORDER BY value DESC",9.71252717799507,True,"The industries that most impacted GDP in Iowa in 2013 were:

1. Finance, insurance, real estate, rental, and leasing with a GDP of $32,084,600,000.
2. Manufacturing with a GDP of $28,896,300,000.
3. State and local with a GDP of $15,527,700,000.
4. Agriculture, forestry, fishing and hunting with a GDP of $12,449,200,000.
5. Educational services, health care, and social assistance with a GDP of $11,943,900,000.

These were followed by industries such as wholesale trade, professional and business services, retail trade, construction, and transportation and warehousing. The least impacting industries were military, mining, quarrying, and oil and gas extraction.",9.72500694799237,"[('Finance, insurance, real estate, rental, and leasing', 32084600000.0), ('Manufacturing', 28896300000.0), ('State and local', 15527700000.0), ('Agriculture, forestry, fishing and hunting', 12449200000.0), ('Educational services, health care, and social assistance', 11943900000.0), ('Wholesale trade', 10354600000.0), ('Professional and business services', 9975300000.0), ('Retail trade', 8551400000.0), ('Construction', 5993400000.0), ('Transportation and warehousing', 5073500000.0), ('Information', 4496799700.0), ('Arts, entertainment, recreation, accommodation, and food services', 4438600000.0), ('Other services (except government and government enterprises)', 3098700000.0), ('Utilities', 2766100000.0), ('Federal civilian', 1607500000.0), ('Military', 868400000.0), ('Mining, quarrying, and oil and gas extraction', 345200000.0)]","The industries that most impacted GDP in Iowa in 2013 were:

1. Finance, insurance, real estate, rental, and leasing with a GDP of $32,084,600,000.
2. Manufacturing with a GDP of $28,896,300,000.
3. State and local with a GDP of $15,527,700,000.
4. Agriculture, forestry, fishing and hunting with a GDP of $12,449,200,000.
5. Educational services, health care, and social assistance with a GDP of $11,943,900,000.

These were followed by industries such as wholesale trade, professional and business services, retail trade, construction, and transportation and warehousing. The least contributing industries were federal civilian, military, and mining, quarrying, and oil and gas extraction.","[('Finance, insurance, real estate, rental, and leasing', 32084600000.0), ('Manufacturing', 28896300000.0), ('State and local', 15527700000.0), ('Agriculture, forestry, fishing and hunting', 12449200000.0), ('Educational services, health care, and social assistance', 11943900000.0), ('Wholesale trade', 10354600000.0), ('Professional and business services', 9975300000.0), ('Retail trade', 8551400000.0), ('Construction', 5993400000.0), ('Transportation and warehousing', 5073500000.0), ('Information', 4496799700.0), ('Arts, entertainment, recreation, accommodation, and food services', 4438600000.0), ('Other services (except government and government enterprises)', 3098700000.0), ('Utilities', 2766100000.0), ('Federal civilian', 1607500000.0), ('Military', 868400000.0), ('Mining, quarrying, and oil and gas extraction', 345200000.0)]",0
Which industry contributed most to GDP growth in Colorado in 1994?,"SELECT year, industry_name, value as contribution 
FROM bea_gross_domestic_product_by_year 
WHERE area_name = 'Colorado' AND year = 1994 AND industry_type = 'Sector' AND measurement_name = 'Contributions to percent change in real GDP' 
ORDER BY value DESC LIMIT 1;

-- This query selects the year, industry name and value (renamed as contribution) from the bea_gross_domestic_product_by_year table where the area name is 'Colorado', the year is 1994, the industry type is 'Sector' and the measurement name is 'Contributions to percent change in real GDP'. The results are ordered by the value in descending order and only the top result is returned, which represents the industry that contributed the most to GDP growth in Colorado in 1994.","SELECT year, industry_name, value as contribution FROM bea_gross_domestic_product_by_year WHERE area_name = 'Colorado' AND year = 1994 AND industry_type = 'Sector' AND measurement_name = 'Contributions to percent change in real GDP' ORDER BY value DESC",11.391312181018293,True,The data does not provide information on which industry contributed the most to GDP growth in Colorado in 1994.,1.659594254102558,[],The data for the industry that contributed the most to GDP growth in Colorado in 1994 is not available.,[],0
Which industry contributed most to GDP growth in Virginia in 1982?,"SELECT year, industry_name, value as contribution 
FROM bea_gross_domestic_product_by_year 
WHERE area_name = 'Virginia' AND year = 1982 AND industry_type = 'Sector' AND measurement_name = 'Contributions to percent change in real GDP' 
ORDER BY value DESC LIMIT 1
-- This query selects the year, industry name and value (renamed as contribution) from the bea_gross_domestic_product_by_year table where the area name is Virginia, the year is 1982, the industry type is Sector and the measurement name is Contributions to percent change in real GDP. The results are ordered by the value in descending order and only the top result is returned.","SELECT year, industry_name, value as contribution FROM bea_gross_domestic_product_by_year WHERE area_name = 'Virginia' AND year = 1982 AND industry_type = 'Sector' AND measurement_name = 'Contributions to percent change in real GDP' ORDER BY value DESC",15.215901116025634,True,The data for the industry that contributed the most to GDP growth in Virginia in 1982 is not available in the database.,2.259312620968558,[],The data for the industry that contributed the most to GDP growth in Virginia in 1982 is not available.,[],0
Which industry contributed most to GDP growth in Wisconsin in 1964?,"SELECT year, industry_name, value as contribution 
FROM bea_gross_domestic_product_by_year 
WHERE area_name = 'Wisconsin' AND year = 1964 AND industry_type = 'Sector' AND measurement_name = 'Contributions to percent change in real GDP' 
ORDER BY value DESC LIMIT 1
-- This query selects the year, industry name and contribution to GDP from the table 'bea_gross_domestic_product_by_year' where the area is Wisconsin, the year is 1964, the industry type is 'Sector' and the measurement name is 'Contributions to percent change in real GDP'. The results are ordered in descending order by the value of the contribution and the query returns only the top result.","SELECT year, industry_name, value as contribution FROM bea_gross_domestic_product_by_year WHERE area_name = 'Wisconsin' AND year = 1964 AND industry_type = 'Sector' AND measurement_name = 'Contributions to percent change in real GDP' ORDER BY value DESC",9.385927862953395,True,The data for the industry that contributed the most to GDP growth in Wisconsin in 1964 is not available in the database.,1.7205641639884561,[],The data for the industry that contributed the most to GDP growth in Wisconsin in 1964 is not available.,[],0
Which industry contributed most to GDP growth in Alaska in 1982?,"SELECT year, industry_name, value as contribution 
FROM bea_gross_domestic_product_by_year 
WHERE area_name = 'Alaska' AND year = 1982 AND industry_type = 'Sector' AND measurement_name = 'Contributions to percent change in real GDP' 
ORDER BY value DESC LIMIT 1
-- This query selects the year, industry name and value (renamed as contribution) from the bea_gross_domestic_product_by_year table where the area name is Alaska, the year is 1982, the industry type is Sector and the measurement name is Contributions to percent change in real GDP. The results are ordered in descending order by value and the query returns only the top result.","SELECT year, industry_name, value as contribution FROM bea_gross_domestic_product_by_year WHERE area_name = 'Alaska' AND year = 1982 AND industry_type = 'Sector' AND measurement_name = 'Contributions to percent change in real GDP' ORDER BY value DESC",11.468628708040342,True,The data for the industry that contributed the most to GDP growth in Alaska in 1982 is not available in the database.,1.3608983129961416,[],The data for the industry that contributed most to GDP growth in Alaska in 1982 is not available in the database.,[],0
Which industry contributed most to GDP growth in Oklahoma in 1973?,"SELECT year, industry_name, value as contribution 
FROM bea_gross_domestic_product_by_year 
WHERE area_name = 'Oklahoma' AND year = 1973 AND industry_type = 'Sector' AND measurement_name = 'Contributions to percent change in real GDP' 
ORDER BY value DESC LIMIT 1
-- This query selects the year, industry name and its contribution to GDP growth from the table 'bea_gross_domestic_product_by_year' for the state of Oklahoma in the year 1973. The industry type is limited to 'Sector' and the measurement name is 'Contributions to percent change in real GDP'. The results are ordered in descending order by the value of contribution and the query returns only the top result.","SELECT year, industry_name, value as contribution FROM bea_gross_domestic_product_by_year WHERE area_name = 'Oklahoma' AND year = 1973 AND industry_type = 'Sector' AND measurement_name = 'Contributions to percent change in real GDP' ORDER BY value DESC",13.21928654902149,True,The data for the industry that contributed the most to GDP growth in Oklahoma in 1973 is not available.,2.4892239150358364,[],The data for the industry that contributed the most to GDP growth in Oklahoma in 1973 is not available in the database.,[],0
What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in Kansas?,"SELECT pce2021.product_category_name, pce2021.value AS value2021, pce2010.value AS value2010, ((pce2021.value - pce2010.value)/pce2010.value)*100 AS rate_of_change 
FROM bea_personal_consumption_expenditures_aggregate pce2021, bea_personal_consumption_expenditures_aggregate pce2010 
WHERE pce2021.year = 2021 
AND pce2021.product_category_type = 'Product Type' 
AND pce2021.area_name = 'Kansas' 
AND pce2010.year = 2010 
AND pce2010.product_category_type = 'Product Type' 
AND pce2010.area_name = 'Kansas' 
AND pce2010.product_category_name = pce2021.product_category_name 
ORDER BY rate_of_change DESC 
LIMIT 1;","SELECT pce2021.product_category_name, pce2021.value AS value2021, pce2010.value AS value2010, (pce2021.value - pce2010.value)/pce2010.value AS rate_of_change FROM bamboo.bea_personal_consumption_expenditures_aggregate pce2021, bamboo.bea_personal_consumption_expenditures_aggregate pce2010 WHERE pce2021.year = 2021 AND pce2021.product_category_type = 'Product Type' AND pce2021.area_name = 'Kansas' AND pce2010.year = 2010 AND pce2010.product_category_type = 'Product Type' AND pce2010.area_name = 'Kansas' AND pce2010.product_category_name = pce2021.product_category_name ORDER BY rate_of_change DESC LIMIT 10;",8.450787610025145,True,"The product that has seen the biggest percent increase in consumer spending between 2010 and 2021 in Kansas is 'Furnishings and durable household equipment'. The spending on this product category increased from $2,252,000,000 in 2010 to $4,145,600,000 in 2021, which is an increase of approximately 84.09%.",4.734238127013668,"[('Furnishings and durable household equipment', 4145600000.0, 2252000000.0, 84.08525586128235)]","The product category that has seen the biggest percent increase in consumer spending between 2010 and 2021 in Kansas is 'Furnishings and durable household equipment'. The spending on this category increased from $2,252,000,000 in 2010 to $4,145,600,000 in 2021, which is an increase of approximately 84.09%.","[('Furnishings and durable household equipment', 4145600000.0, 2252000000.0, 0.84085256), ('Motor vehicles and parts', 6462900000.0, 3543400000.0, 0.82392627), ('Food services and accommodations', 7794100000.0, 4968400000.0, 0.56873447), ('Financial services and insurance', 10164900000.0, 6527600000.0, 0.55721855), ('Other nondurable goods', 10857500000.0, 7106600000.0, 0.5278051), ('Recreational goods and vehicles', 3247900000.0, 2175200000.0, 0.49315003), ('Food and beverages purchased for off-premises consumption', 11249100000.0, 7547200000.0, 0.49049976), ('Gross output of nonprofit institutions', 13435800000.0, 9190900000.0, 0.46185902), ('Health care', 21993800000.0, 15147000000.0, 0.4520235), ('Other durable goods', 1918500000.0, 1336500000.0, 0.43546578)]",0
What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in Oklahoma?,"SELECT pce2021.product_category_name, pce2021.value AS value2021, pce2010.value AS value2010, (pce2021.value - pce2010.value)/pce2010.value AS rate_of_change 
FROM bamboo.bea_personal_consumption_expenditures_aggregate pce2021, bamboo.bea_personal_consumption_expenditures_aggregate pce2010 
WHERE pce2021.year = 2021 
AND pce2021.product_category_type = 'Product Type' 
AND pce2021.area_name = 'Oklahoma' 
AND pce2010.year = 2010 
AND pce2010.product_category_type = 'Product Type' 
AND pce2010.area_name = 'Oklahoma' 
AND pce2010.product_category_name = pce2021.product_category_name 
ORDER BY rate_of_change DESC 
LIMIT 10;","SELECT pce2021.product_category_name, pce2021.value AS value2021, pce2010.value AS value2010, (pce2021.value - pce2010.value)/pce2010.value AS rate_of_change FROM bamboo.bea_personal_consumption_expenditures_aggregate pce2021, bamboo.bea_personal_consumption_expenditures_aggregate pce2010 WHERE pce2021.year = 2021 AND pce2021.product_category_type = 'Product Type' AND pce2021.area_name = 'Oklahoma' AND pce2010.year = 2010 AND pce2010.product_category_type = 'Product Type' AND pce2010.area_name = 'Oklahoma' AND pce2010.product_category_name = pce2021.product_category_name ORDER BY rate_of_change DESC LIMIT 10;",14.586028479970992,True,"The product category that has seen the biggest percent increase in consumer spending between 2010 and 2021 in Oklahoma is 'Motor vehicles and parts'. The spending on this category increased from $5,448,000,000 in 2010 to $10,308,900,000 in 2021, which is an increase of approximately 89.22%.",7.228696806007065,"[('Motor vehicles and parts', 10308900000.0, 5448000000.0, 0.89223564), ('Furnishings and durable household equipment', 5025100000.0, 2697500000.0, 0.862873), ('Food services and accommodations', 11620100000.0, 6687100000.0, 0.737689), ('Recreational goods and vehicles', 4734300000.0, 2727200000.0, 0.7359564), ('Other durable goods', 2699300000.0, 1692199900.0, 0.59514254), ('Less: Receipts from sales of goods and services by nonprofit institutions', 13983300000.0, 8910600000.0, 0.5692882), ('Financial services and insurance', 10727700000.0, 6850000000.0, 0.56608766), ('Gross output of nonprofit institutions', 16050800000.0, 10376800000.0, 0.5467966), ('Other nondurable goods', 14171600000.0, 9226900000.0, 0.53590035), ('Clothing and footwear', 5290399700.0, 3507300000.0, 0.5083967)]","The product category that has seen the biggest percent increase in consumer spending between 2010 and 2021 in Oklahoma is 'Motor vehicles and parts'. The spending on this category increased from $5,448,000,000 in 2010 to $10,308,900,000 in 2021, which is an increase of approximately 89.22%.","[('Motor vehicles and parts', 10308900000.0, 5448000000.0, 0.89223564), ('Furnishings and durable household equipment', 5025100000.0, 2697500000.0, 0.862873), ('Food services and accommodations', 11620100000.0, 6687100000.0, 0.737689), ('Recreational goods and vehicles', 4734300000.0, 2727200000.0, 0.7359564), ('Other durable goods', 2699300000.0, 1692199900.0, 0.59514254), ('Less: Receipts from sales of goods and services by nonprofit institutions', 13983300000.0, 8910600000.0, 0.5692882), ('Financial services and insurance', 10727700000.0, 6850000000.0, 0.56608766), ('Gross output of nonprofit institutions', 16050800000.0, 10376800000.0, 0.5467966), ('Other nondurable goods', 14171600000.0, 9226900000.0, 0.53590035), ('Clothing and footwear', 5290399700.0, 3507300000.0, 0.5083967)]",0
What product has seen the biggest percent increase in consumer spending between 2010 and 2021 in New York?,"SELECT pce2021.product_category_name, pce2021.value AS value2021, pce2010.value AS value2010, (pce2021.value - pce2010.value)/pce2010.value AS rate_of_change 
FROM bamboo.bea_personal_consumption_expenditures_aggregate pce2021, bamboo.bea_personal_consumption_expenditures_aggregate pce2010 
WHERE pce2021.year = 2021 AND pce2021.product_category_type = 'Product Type' AND pce2021.area_name = 'New York' 
AND pce2010.year = 2010 AND pce2010.product_category_type = 'Product Type' AND pce2010.area_name = 'New York' 
AND pce2010.product_category_name = pce2021.product_category_name 
ORDER BY rate_of_change DESC LIMIT 10;","SELECT pce2021.product_category_name, pce2021.value AS value2021, pce2010.value AS value2010, (pce2021.value - pce2010.value)/pce2010.value AS rate_of_change FROM bamboo.bea_personal_consumption_expenditures_aggregate pce2021, bamboo.bea_personal_consumption_expenditures_aggregate pce2010 WHERE pce2021.year = 2021 AND pce2021.product_category_type = 'Product Type' AND pce2021.area_name = 'New York' AND pce2010.year = 2010 AND pce2010.product_category_type = 'Product Type' AND pce2010.area_name = 'New York' AND pce2010.product_category_name = pce2021.product_category_name ORDER BY rate_of_change DESC LIMIT 10;",11.339404372964054,True,"The product category that has seen the biggest percent increase in consumer spending between 2010 and 2021 in New York is 'Furnishings and durable household equipment'. The spending on this category increased from $16,266,000,000 in 2010 to $29,352,200,000 in 2021, which is an increase of approximately 80.45%.",9.758963577914983,"[('Furnishings and durable household equipment', 29352200000.0, 16266000000.0, 0.80451244), ('Other nondurable goods', 105677600000.0, 59998300000.0, 0.76134336), ('Motor vehicles and parts', 29107400000.0, 16641500000.0, 0.7490851), ('Financial services and insurance', 100760300000.0, 61043600000.0, 0.6506283), ('Recreational goods and vehicles', 28968800000.0, 17798900000.0, 0.6275613), ('Less: Receipts from sales of goods and services by nonprofit institutions', 112558700000.0, 70221300000.0, 0.602914), ('Other durable goods', 17191400000.0, 10759900000.0, 0.59772855), ('Gross output of nonprofit institutions', 151738400000.0, 97158800000.0, 0.5617567), ('Food and beverages purchased for off-premises consumption', 71346800000.0, 46165500000.0, 0.54545707), ('Food services and accommodations', 66216000000.0, 45460500000.0, 0.4565612)]","The product category that has seen the biggest percent increase in consumer spending between 2010 and 2021 in New York is 'Furnishings and durable household equipment'. The spending on this category increased from $16,266,000,000 in 2010 to $29,352,200,000 in 2021, which is an increase of approximately 80.45%.","[('Furnishings and durable household equipment', 29352200000.0, 16266000000.0, 0.80451244), ('Other nondurable goods', 105677600000.0, 59998300000.0, 0.76134336), ('Motor vehicles and parts', 29107400000.0, 16641500000.0, 0.7490851), ('Financial services and insurance', 100760300000.0, 61043600000.0, 0.6506283), ('Recreational goods and vehicles', 28968800000.0, 17798900000.0, 0.6275613), ('Less: Receipts from sales of goods and services by nonprofit institutions', 112558700000.0, 70221300000.0, 0.602914), ('Other durable goods', 17191400000.0, 10759900000.0, 0.59772855), ('Gross output of nonprofit institutions', 151738400000.0, 97158800000.0, 0.5617567), ('Food and beverages purchased for off-premises consumption', 71346800000.0, 46165500000.0, 0.54545707), ('Food services and accommodations', 66216000000.0, 45460500000.0, 0.4565612)]",0
